GLHDID,BottleID,Tributary_name,Watershed_area ,Strahler_order,Agriculture,Urban,Forest,Wetland,Herbaceous,Shrubland,Barren,Open_water,Saturated_K,Drift_thickness ,Igneous,Carbonate,Metamorphic,Iron_formation,Sandstone,Shale,Bedrock_water,DOC,SUVA,E2E3,Flow,Discharge,Load,Yield
751,1, ,27.1269,2,37.96821605,28.48611526,14.98954912,12.86287781,1.655552238,3.168441658,0.869247868,0,0.27637378,27.8318759,0,0,0,0,100,0,0,5.351863479,3.3,5.270114943,0.033820335,2922076.962,50.58115221,10.55621342
749,2,Waiska River,384.408,4,16.8112006,5.493772242,35.91754074,32.39815509,5.105122682,3.923019292,0.24911032,0.102079041,1.515670058,15.84979801,0,79.43950178,0,0,18.74508335,1.815414872,0,5.800677344,3,5.239766082,0.177767874,15359144.29,78.94600166,1.125582626
746,3,Little Waiska Creek,17.5617,2,5.483523805,3.971711167,67.36022139,12.06887716,6.918464613,3.577102445,0.097370983,0.522728437,2.646863045,10.73766874,0,29.27941779,0,0,70.72058221,0,0,16.51470584,3.43,4.742765273,0.181765258,15704518.27,56.06513022,1.430711034
744,4, ,10.7703,2,0,7.880003343,78.90030918,5.398178324,6.676694243,0.977688644,0.158769951,0.008356313,3.239885886,11.55404674,0,0,0,0,100,0,0,16.78820179,3.69,4.304232804,0.5592129,48315994.56,432.4281513,1.206400961
742,5, ,40.5063,2,0.673228609,2.03079521,77.37907437,14.16224143,2.97731464,1.25980403,0.126646966,1.39089475,2.736571712,2.216385222,0,26.89581621,0,0,73.10418379,0,0,7.657644713,3.64,4.436923077,0.157184204,13580715.19,104.0282783,2.568199968
738,6,Bergman Creek,2.9817,1,0,0.694234832,81.19529128,11.50015092,0.211288862,6.187745246,0,0.211288862,1.193478702,4.937760067,0,0,0,0,100,0,0,22.69290921,3.33,3.463435374,0.016468769,1422901.613,4.652888274,0.274701162
736,7,Halfaday Creek,17.2341,2,1.530106011,1.54055042,89.2631469,4.78353961,0.70499765,2.109770745,0.01044441,0.057444253,2.494386923,6.316869784,0,32.15833725,0,0,67.84166275,0,0,5.404458854,3.42,4.478873239,0.107755062,9310037.382,25.04400056,0.346016753
734,8,Mill Creek,5.4819,1,0.78804794,0.344770974,84.51814152,14.15202758,0.114923658,0.082088327,0,0,2.061445018,5.740400155,0,0,0,0,100,0,0,11.97747817,3.74,5.072368421,0.126215539,10905022.61,70.55549628,0.846616513
732,9,Naomikong Creek,11.6343,2,0,1.059797323,65.60686934,27.91831051,0.673009979,4.579562157,0,0.162450685,1.908313671,5.50672013,0,0,0,0,100,0,0,16.09394284,4.09,4.285894207,0.842527399,72794367.25,650.0536995,7.308548153
730,10,Ankodosh Creek,46.0611,2,0.039078528,0.937884679,66.34947928,19.28720764,5.934074523,4.073936576,0.013677485,3.364661287,1.651216355,5.906926377,0,76.14646632,0,0,23.85353368,0,0,13.66053017,3.72,4.921495327,1.030997445,89078179.21,570.100347,0.863812356
728,11,Roxbury Creek,37.3716,2,0,2.45641075,77.08554089,10.75522589,3.258356613,6.251806184,0.101146325,0.091513342,1.958423719,5.753877708,0,84.04296311,0,0,15.95703689,0,0,12.69277527,4.15,4.570469799,1.631628296,140972684.8,1119.323117,1.188649557
